,level_0,Objet,Model,Attaque,Intensité,Score,Difference absolue,MSE,Coef de corrélation,SSIM
365,1460,hammer,ResNet152V2,PGD,0.006,-1,122.36495535714286,22.697165975765305,0.17495691124616303,0.349413485319349
366,1464,hammer,ResNet152V2,PGD,0.01,-1,135.00958625637756,20.192442602040817,0.16145891020933778,0.3448699882895774
367,1468,hammer,ResNet152V2,PGD,0.03,-1,185.44616948341837,10.977598852040817,0.2039457093089434,0.21163363508373084
368,1472,hammer,ResNet152V2,PGD,0.06,-1,125.00428491709184,25.801678093112244,0.10154006133902474,0.3689916191500948
369,1476,hammer,ResNet152V2,PGD,0.0,-1,95.96944754464286,24.245236766581634,0.5831589415360208,0.6135877682285236
370,1480,hammer,ResNet152V2,PGD,0.1,-1,162.32069116709184,17.673050860969386,0.15970904707529338,0.28846532291204874
371,1484,hammer,ResNet152V2,PGD,0.3,-1,178.87944435586735,14.361348054846939,0.03247808451372401,0.18822185498011934
372,1488,hammer,ResNet152V2,PGD,0.6,-1,177.41651387117346,14.474310427295919,0.07015565698303791,0.2087910308509652
373,1492,hammer,ResNet152V2,PGD,1.0,-1,124.52734375,28.554408482142858,-0.010367059484826332,0.3080670264256526
374,1496,hammer,VGG16,FGSM,0.001,-1,65.99637276785714,28.59765625,0.40598734622666977,0.5943986315076817
375,1500,hammer,VGG16,FGSM,0.003,-1,68.0893853635204,28.513871173469386,0.4040322121180201,0.5931493624851821
376,1504,hammer,VGG16,FGSM,0.006,-1,67.98453443877551,28.36716757015306,0.4038766015835935,0.5945466756297639
377,1508,hammer,VGG16,FGSM,0.01,-1,67.83424346301021,28.460140306122447,0.4037575014067824,0.5939746389869185
378,1512,hammer,VGG16,FGSM,0.03,-1,68.37956393494898,28.398317920918366,0.4036202036864693,0.5942901661779391
379,1516,hammer,VGG16,FGSM,0.06,-1,68.1236647002551,28.610231983418366,0.4045029451972272,0.5939523170217734
380,1520,hammer,VGG16,FGSM,0.0,-1,43.584681919642854,30.254603794642858,0.41942859846003644,0.5407781047233333
381,1524,hammer,VGG16,FGSM,0.1,-1,68.17974728954081,28.55369100765306,0.4039190838344,0.595158634117706
382,1528,hammer,VGG16,FGSM,0.3,-1,63.331612723214285,29.265445631377553,0.3957519662302481,0.590494383843259
383,1532,hammer,VGG16,FGSM,0.6,-1,64.50314891581633,29.142956792091837,0.39286191979357066,0.59162869088635
